zpid,price_last_sold,date_last_sold,zipcode,city,street,year_built,lot_size,home_size,bathrooms,bedrooms,longitude,latitude,walkscore
35913644,5275822,3/23/17,30327,Atlanta,1150 W Garmon Rd,2015,78408,13000,9,5,-84.424872,33.879601,7
35902010,4025000,12/30/16,30305,Atlanta,21 Cherokee Rd NW,1923,98881,6786,9,5,-84.392999,33.83264,45
35913688,3630000,6/4/16,30327,Atlanta,4701 Northside Dr,1998,87120,14387,8,6,-84.420614,33.881753,14
71759973,3625000,10/13/16,30327,Atlanta,2874 Rivermeade Dr NW,2007,108900,10600,10,5,-84.450632,33.834556,7
35921864,3500000,6/28/16,30327,Atlanta,2965 Nancy Creek Rd NW,2005,88862,3231,7,6,-84.44984,33.836032,1
2120438232,3500000,9/23/16,30305,Atlanta,2500 Peachtree Rd NW APT 901,2007,0,7545,5,4,-84.388099,33.82833,62
35902406,3305000,11/29/16,30305,Atlanta,3526 Knollwood Dr NW,1954,80586,3772,5,4,-84.396519,33.851388,4
35921832,3210000,4/28/16,30327,Atlanta,2969 Ridgewood Rd NW,2005,47916,6380,5,5,-84.447159,33.836446,3
35902053,2900000,6/15/16,30305,Atlanta,2790 Andrews Dr NW,1920,34098,6683,6,6,-84.388844,33.83095,67
35942410,2867500,7/22/16,30342,Atlanta,67 Blackland Rd NW,2008,50529,8500,8,5,-84.386729,33.856687,50
35907616,2800000,9/15/16,30305,Atlanta,3170 Arden Rd NW,1941,43560,5848,6,5,-84.399478,33.841591,17
35902813,2765234,12/14/16,30327,Atlanta,4566 Dudley Ln,2016,34848,8201,8,5,-84.39168,33.879564,25
65452392,2690000,7/20/16,30327,Atlanta,4250 Whitestone Pl,2005,43560,9138,10,6,-84.42542,33.871633,6
69352213,2650000,6/4/16,30327,Atlanta,5430 Claire Rose Ln,2007,30661,13500,7,6,-84.401744,33.903051,1
35942411,2649000,8/31/16,30342,Atlanta,18 Blackland Rd NW,2016,30492,9525,10,8,-84.384535,33.854614,71
92192087,2642556,10/21/16,30326,Atlanta,3344 Peachtree Rd NE UNIT 4303,2008,4417,4417,3,3,-84.368767,33.84721,74
14316563,2637309,7/14/16,30339,Atlanta,4105 Orchard Lake Ct SE,2016,26572,8000,7,6,-84.472306,33.854299,3
